iter	MAE
0	9.844594067
1	9.696402991
2	9.547905738
3	9.401602134
4	9.257130337
5	9.116819351
6	8.978560145
7	8.849743379
8	8.71862104
9	8.588627332
10	8.461638164
11	8.338891711
12	8.220744323
13	8.103768112
14	7.990936267
15	7.878196536
16	7.770357727
17	7.670939044
18	7.568366762
19	7.468658183
20	7.372217134
21	7.277988161
22	7.186224281
23	7.093775196
24	7.007134679
25	6.918623101
26	6.834952969
27	6.753555987
28	6.672183429
29	6.597425761
30	6.519603628
31	6.443466414
32	6.369965034
33	6.300803115
34	6.233511679
35	6.166395725
36	6.102608285
37	6.040250952
38	5.978808993
39	5.919746996
40	5.861255035
41	5.806231595
42	5.748374562
43	5.694795966
44	5.643382703
45	5.594339247
46	5.544997337
47	5.497348131
48	5.448796723
49	5.404189248
50	5.361422617
51	5.316922315
52	5.275349841
53	5.233302507
54	5.195037408
55	5.154922325
56	5.118734289
57	5.082281688
58	5.048083377
59	5.013036687
60	4.980232637
61	4.949013513
62	4.918230363
63	4.888000252
64	4.860639098
65	4.833149057
66	4.805414554
67	4.77962609
68	4.754044324
69	4.729151664
70	4.704975208
71	4.681848046
72	4.660532548
73	4.63861891
74	4.614868175
75	4.593481439
76	4.573342465
77	4.554134684
78	4.535516005
79	4.515943915
80	4.498551823
81	4.480423725
82	4.463420825
83	4.447071549
84	4.429872049
85	4.413482727
86	4.398604737
87	4.384366023
88	4.370431552
89	4.35563281
90	4.341419826
91	4.32788391
92	4.314994584
93	4.303814104
94	4.29150115
95	4.278660879
96	4.265442071
97	4.254045405
98	4.243556591
99	4.231412821
100	4.220637022
101	4.210338591
102	4.19879083
103	4.188692598
104	4.179811282
105	4.169746432
106	4.160521907
107	4.151601471
108	4.142956788
109	4.134151781
110	4.125785652
111	4.117882159
112	4.110648711
113	4.103894293
114	4.096506181
115	4.089101726
116	4.081744667
117	4.075876094
118	4.069017559
119	4.06279869
120	4.056445597
121	4.050221056
122	4.043973959
123	4.038384259
124	4.032543049
125	4.026072443
126	4.021430996
127	4.01642093
128	4.011691521
129	4.006345129
130	4.001368706
131	3.996288489
132	3.99108057
133	3.987058901
134	3.982123973
135	3.97847997
136	3.974135663
137	3.970495805
138	3.96635494
139	3.962338228
140	3.958780533
141	3.955236867
142	3.951836336
143	3.947845875
144	3.944380627
145	3.94053987
146	3.937744418
147	3.934585961
148	3.931497985
149	3.928350372
150	3.925474301
151	3.922968184
152	3.919920389
153	3.916894723
154	3.914215869
155	3.911488783
156	3.908529324
157	3.905734637
158	3.903109998
159	3.900590649
160	3.898341584
161	3.896117297
162	3.893876032
163	3.891323889
164	3.889352821
165	3.887606117
166	3.885152771
167	3.883245674
168	3.881485882
169	3.879714752
170	3.878177529
171	3.876143002
172	3.874540581
173	3.872876293
174	3.871259556
175	3.869643691
176	3.868135539
177	3.866568893
178	3.865267057
179	3.863831655
180	3.862452313
181	3.86137652
182	3.859894839
183	3.858714519
184	3.857085965
185	3.855638155
186	3.854093045
187	3.852790952
188	3.851510185
189	3.849841372
190	3.848181776
191	3.846723024
192	3.84544595
193	3.844202068
194	3.842949746
195	3.841828646
196	3.84080508
197	3.839858465
198	3.838815336
199	3.838003757
200	3.836745808
201	3.835730341
202	3.834644513
203	3.833466776
204	3.832707422
205	3.831862576
206	3.831026506
207	3.830383331
208	3.829626546
209	3.828669777
210	3.827862141
211	3.827198149
